#==============================================================================
# tracerinfo.dat: Created by GEOS-CHEM at 2020/05/17 04:16
#
# ****** CUSTOMIZED FOR CH4 SIMULATION *****
#
# This file contains name weight and index information about GEOS-CHEM
# tracers.  It is read by routine "ctm_tracerinfo.pro" of the GAMAP package.
#
# File Format:
# -----------------------------------------------------------------------------
# NAME     (A8   )  Tracer name (up to 8 chars)
#  --      (1X   )  1-character spacer
# FULLNAME (A30  )  Full tracer name (up to 30 chars)
# MOLWT    (E10.0)  Molecular weight (kg/mole)
# C        (I3   )  For HC's: # moles C/moles tracer; otherwise set=1
# TRACER   (I9   )  Tracer number (up to 9 digits)
# SCALE    (E10.3)  Standard scale factor to convert to unit given below
#  --      (1X   )  1-character spacer
# UNIT     (A40  )  Unit string
#
#==============================================================================
# GEOS-CHEM tracers [ppbv]
#==============================================================================
PBL-M    PBL depth                      0.000E+00  1    27001 1.000E+00 m
PBL-L    PBL depth                      0.000E+00  1    27002 1.000E+00 levels
#==============================================================================
# ND43 diagnostic quantities
#==============================================================================
OH       Chemically produced OH         1.700E-02  1    16001 1.000E+00 molec/cm3
HO2      Chemically produced HO2        3.300E-02  1    16003 1.000E+00 v/v
O1D      Chemically produced O1D        1.600E-02  1    16004 1.000E+00 molec/cm3
O        Chemically produced O          1.600E-02  1    16005 1.000E+00 molec/cm3
#==============================================================================
# ND46 diagnostic quantities
#==============================================================================
ISOP     ISOP emissions                 1.200E-02  5    21001 1.000E+00 atoms C/cm2/s
ACET     ACET emissions                 1.200E-02  3    21002 1.000E+00 atoms C/cm2/s
PRPE     PRPE emissions                 1.200E-02  3    21003 1.000E+00 atoms C/cm2/s
MONX     MONX emissions                 1.200E-02 10    21004 1.000E+00 atoms C/cm2/s
MBOX     MBOX emissions                 1.200E-02  5    21005 1.000E+00 atoms C/cm2/s
C2H4     C2H4 emissions                 1.200E-02  2    21006 1.000E+00 atoms C/cm2/s
APIN     APIN emissions                 1.200E-02 10    21007 1.000E+00 atoms C/cm2/s
BPIN     BPIN emissions                 1.200E-02 10    21008 1.000E+00 atoms C/cm2/s
LIMO     LIMO emissions                 1.200E-02 10    21009 1.000E+00 atoms C/cm2/s
SABI     SABI emissions                 1.200E-02 10    21010 1.000E+00 atoms C/cm2/s
MYRC     MYRC emissions                 1.200E-02 10    21011 1.000E+00 atoms C/cm2/s
CARE     CARE emissions                 1.200E-02 10    21012 1.000E+00 atoms C/cm2/s
OCIM     OCIM emissions                 1.200E-02 10    21013 1.000E+00 atoms C/cm2/s
HCOOH    HCOOH emissions                4.600E-02  1    21014 1.000E+00 molec/cm2/s
ACTA     ACTA emissions                 6.000E-02  2    21015 1.000E+00 molec/cm2/s
ALD2     ALD2 emissions                 1.200E-02  2    21016 1.000E+00 atoms C/cm2/s
OMON     OMON emissions                 1.200E-02 10    21017 1.000E+00 atoms C/cm2/s
MOHX     MOHX emissions                 3.200E-02  1    21018 1.000E+00 molec/cm2/s
EOH      EOH emissions                  1.200E-02  2    21019 1.000E+00 atoms C/cm2/s
FARN     FARN emissions                 1.200E-02 15    21020 1.000E+00 atoms C/cm2/s
BCAR     BCAR emissions                 1.200E-02 15    21021 1.000E+00 atoms C/cm2/s
OSQT     OSQT emissions                 1.200E-02 15    21022 1.000E+00 atoms C/cm2/s
CHBr3    Ocean bromoform emissions      2.530E-01  0    21023 1.000E+00 kg/m2/s
CH2Br2   Ocean dibromomethane emissions 1.740E-01  0    21024 1.000E+00 kg/m2/s
SSBr2    sea-salt Br2 emissions         1.600E-01  0    21025 1.000E+00 kg/m2/s
CH4      CH4 emissions                  1.600E-02  1    21026 1.000E+00 molec/cm2/s
ALD2sen  ALD2sen emissions              1.200E-02  2    21027 1.000E+00 atoms C/cm2/s
EOHsene  EOHsene emissions              1.200E-02  2    21028 1.000E+00 atoms C/cm2/s
ALD2osr  ALD2osr emissions              1.200E-02  2    21029 1.000E+00 atoms C/cm2/s
#==============================================================================
# ND48 diagnostic quantities
#==============================================================================
OH       OH time series                 0.000E+00  1    19001 1.000E+00 molec/cm3
NOy      NOy time series                0.000E+00  1    19002 1.000E+09 ppbv
RH       Relative humidity              0.000E+00  1    19003 1.000E+00 %
CF       Cloud fraction                 0.000E+00  1    19004 1.000E+00 unitless
ODCOL    Cloud optical depth            0.000E+00  1    19005 1.000E+00 unitless
CThgt    Cloud top height               0.000E+00  1    19006 1.000E+00 hPa
AIRDEN   Air density                    0.000E+00  1    19007 1.000E+00 molec/cm3
TOTSALT  Total seasalt tracer           3.600E-02  1    19008 1.000E+09 ppbv
D_LAI    Daily LAI                      0.000E+00  1    19009 1.000E+00 m2/m2
NO_SOIL  Soil NO                        0.000E+00  1    19010 1.000E+00 molec/cm2/s
NO_FERT  Fertilizer NO                  0.000E+00  1    19011 1.000E+00 molec/cm2/s
P_DRY    Dry period                     0.000E+00  1    19012 1.000E+00 hours
PFACTOR  Pulsing factor                 0.000E+00  1    19013 1.000E+00 unitless
GWET_PRV Soil moisture                  0.000E+00  1    19014 1.000E+00 unitless
SZA      Cosine Solar Zenith Angle      0.000E+00  1    19015 1.000E+00 unitless
GLYX     Glyoxal time series            0.000E+00  1    19016 1.000E+00 molec/cm3
AERMASS  Aerosol mass time series       0.000E+00  1    19017 1.000E+00 ug/m3
#==============================================================================
# ND66 diagnostic quantities
#==============================================================================
UWND     GMAO UWND field                0.000E+00  1    12001 1.000E+00 m/s
VWND     GMAO VWND field                0.000E+00  1    12002 1.000E+00 m/s
TMPU     GMAO TMPU field                0.000E+00  1    12003 1.000E+00 K
SPHU     GMAO SPHU field                0.000E+00  1    12004 1.000E+00 g/kg
CMFMC    GMAO CMFMC field               0.000E+00  1    12005 1.000E+00 kg/m2/s
DTRAIN   GMAO DTRAIN field              0.000E+00  1    12006 1.000E+00 kg/m2/s
OMEGA    GMAO OMEGA field               0.000E+00  1    12007 1.000E+00 Pa/s
#==============================================================================
# ND67 diagnostic quantities
#==============================================================================
HFLUX    GMAO HFLUX field               0.000E+00  1    11001 1.000E+00 W/m2
RADSWG   GMAO RADSWG field              0.000E+00  1    11002 1.000E+00 W/m2
PREACC   GMAO PREACC field              0.000E+00  1    11003 1.000E+00 mm/day
PRECON   GMAO PRECON field              0.000E+00  1    11004 1.000E+00 mm/day
TS       GMAO TS field                  0.000E+00  1    11005 1.000E+00 K
RADSWT   GMAO RADSWT field              0.000E+00  1    11006 1.000E+00 W/m2
USTAR    GMAO USTAR field               0.000E+00  1    11007 1.000E+00 m/s
Z0       GMAO Z0 field                  0.000E+00  1    11008 1.000E+00 m
PBL      GMAO PBL field                 0.000E+00  1    11009 1.000E+00 m
CLDFRC   GMAO CLDFRC field              0.000E+00  1    11010 1.000E+00 unitless
U10M     GMAO U10M field                0.000E+00  1    11011 1.000E+00 m/s
V10M     GMAO V10M field                0.000E+00  1    11012 1.000E+00 m/s
PS_PBL   GMAO PS_PBL field              0.000E+00  1    11013 1.000E+00 hPa
ALBD     GMAO ALBD field                0.000E+00  1    11014 1.000E+00 unitless
PHIS     GMAO PHIS field                0.000E+00  1    11015 1.000E+00 m
CLDTOP   GMAO CLDTOP field              0.000E+00  1    11016 1.000E+00 level
TROPPRAW GMAO TROPPRAW field            0.000E+00  1    11017 1.000E+00 hPa
SLP      GMAO SLP field                 0.000E+00  1    11018 1.000E+00 hPa
TSKIN    GMAO TSKIN field               0.000E+00  1    11019 1.000E+00 K
PARDF    GMAO PARDF field               0.000E+00  1    11020 1.000E+00 W/m2
PARDR    GMAO PARDR field               0.000E+00  1    11021 1.000E+00 W/m2
GWET     GMAO GWET field                0.000E+00  1    11022 1.000E+00 unitless
EFLUX    GMAO EFLUX field               0.000E+00  1    11023 1.000E+00 W/m2
#==============================================================================
# ND68 diagnostic quantities
#==============================================================================
BXHEIGHT Grid box height                0.000E+00  1    24001 1.000E+00 m
AD       Air mass in grid box           0.000E+00  1    24002 1.000E+00 kg
AVGW     Mixing ratio of H2O vapor      0.000E+00  1    24003 1.000E+00 v/v
AIRNUMDE Dry air number density         0.000E+00  1    24004 1.000E+00 molec air/cm3
T        Temperature                    0.000E+00  1    24005 1.000E+00 K
PMID     Pressure at average pressure l 0.000E+00  1    24006 1.000E+00 hPa
PEDGE    Pressure at grid box lower edg 0.000E+00  1    24007 1.000E+00 hPa
RH       Relative humidity              0.000E+00  1    24008 1.000E+00 %
#==============================================================================
# ND69 diagnostic quantities
#==============================================================================
DXYP     Grid box surface area          0.000E+00  1    25001 1.000E+00 m2
